Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,Firefox 43.0,,2017-09-13 17:09:24,2017-09-13 17:11:11,1m - 46.343s,PASSED
,,,,,,
Test Cases/LoginFunctionalityTests/FB_LoginTest,Firefox 43.0,,2017-09-13 17:09:25,2017-09-13 17:10:11,45.593s,PASSED
openBrowser,Firefox 43.0,,2017-09-13 17:09:26,2017-09-13 17:09:38,11.831s,PASSED
navigateToUrl,Firefox 43.0,,2017-09-13 17:09:38,2017-09-13 17:09:41,3.059s,PASSED
click,Firefox 43.0,,2017-09-13 17:09:41,2017-09-13 17:09:42,1.253s,PASSED
click,Firefox 43.0,,2017-09-13 17:09:42,2017-09-13 17:09:43,0.812s,PASSED
switchToWindowTitle,Firefox 43.0,,2017-09-13 17:09:43,2017-09-13 17:09:44,0.906s,PASSED
setText,Firefox 43.0,,2017-09-13 17:09:44,2017-09-13 17:09:44,0.362s,PASSED
setText,Firefox 43.0,,2017-09-13 17:09:44,2017-09-13 17:09:44,0.195s,PASSED
click,Firefox 43.0,,2017-09-13 17:09:44,2017-09-13 17:09:46,1.488s,PASSED
switchToWindowUrl,Firefox 43.0,,2017-09-13 17:09:46,2017-09-13 17:09:46,0.055s,PASSED
delay,Firefox 43.0,,2017-09-13 17:09:46,2017-09-13 17:09:49,3.024s,PASSED
verifyElementPresent,Firefox 43.0,,2017-09-13 17:09:49,2017-09-13 17:10:05,16.034s,PASSED
delay,Firefox 43.0,,2017-09-13 17:10:05,2017-09-13 17:10:08,3.006s,PASSED
click,Firefox 43.0,,2017-09-13 17:10:08,2017-09-13 17:10:08,0.183s,PASSED
click,Firefox 43.0,,2017-09-13 17:10:08,2017-09-13 17:10:08,0.201s,PASSED
click,Firefox 43.0,,2017-09-13 17:10:08,2017-09-13 17:10:10,2.011s,PASSED
closeBrowser,Firefox 43.0,,2017-09-13 17:10:10,2017-09-13 17:10:11,0.207s,PASSED
,,,,,,
Test Cases/LoginFunctionalityTests/LoginTest,Firefox 43.0,,2017-09-13 17:10:11,2017-09-13 17:11:11,59.938s,PASSED
openBrowser,Firefox 43.0,,2017-09-13 17:10:11,2017-09-13 17:10:22,11.411s,PASSED
navigateToUrl,Firefox 43.0,,2017-09-13 17:10:22,2017-09-13 17:10:29,6.808s,PASSED
click,Firefox 43.0,,2017-09-13 17:10:29,2017-09-13 17:10:30,1.231s,PASSED
setText,Firefox 43.0,,2017-09-13 17:10:30,2017-09-13 17:10:31,0.895s,PASSED
setText,Firefox 43.0,,2017-09-13 17:10:31,2017-09-13 17:10:32,0.841s,PASSED
click,Firefox 43.0,,2017-09-13 17:10:32,2017-09-13 17:10:33,0.874s,PASSED
delay,Firefox 43.0,,2017-09-13 17:10:33,2017-09-13 17:10:36,3.008s,PASSED
verifyElementPresent,Firefox 43.0,,2017-09-13 17:10:36,2017-09-13 17:10:37,0.919s,PASSED
delay,Firefox 43.0,,2017-09-13 17:10:37,2017-09-13 17:10:40,3.005s,PASSED
click,Firefox 43.0,,2017-09-13 17:10:40,2017-09-13 17:11:04,24.475s,PASSED
click,Firefox 43.0,,2017-09-13 17:11:04,2017-09-13 17:11:05,0.267s,PASSED
click,Firefox 43.0,,2017-09-13 17:11:05,2017-09-13 17:11:05,0.203s,PASSED
delay,Firefox 43.0,,2017-09-13 17:11:05,2017-09-13 17:11:08,3.006s,PASSED
click,Firefox 43.0,,2017-09-13 17:11:08,2017-09-13 17:11:08,0.180s,PASSED
click,Firefox 43.0,,2017-09-13 17:11:08,2017-09-13 17:11:08,0.158s,PASSED
click,Firefox 43.0,,2017-09-13 17:11:08,2017-09-13 17:11:10,2.128s,PASSED
closeBrowser,Firefox 43.0,,2017-09-13 17:11:10,2017-09-13 17:11:11,0.120s,PASSED
